County,District,Town,AvgPrice,AvgDownload,TotalCrimeCount,AvgAttainment,norm_price,norm_crime,norm_attainment,norm_download,QualityScore
WEST YORKSHIRE,LEEDS,WETHERBY,162750,41.415905511811026,1816,56,0.9032519191222017,0.9765911894398049,0.7940243257535695,0.5708650034761195,0.8701694899791481
WEST YORKSHIRE,BRADFORD,BINGLEY,99000,48.59982993197279,2940,50.5,0.992022272191486,0.960654482553276,0.5177154944473823,0.7996694869263123,0.8685153012246849
WEST YORKSHIRE,CALDERDALE,BRIGHOUSE,93270.83333333333,47.086920529801326,3156,49.55,1,0.957591912546612,0.46998942358540435,0.7514840615202099,0.8564238646330854
SOUTH YORKSHIRE,ROTHERHAM,MEXBOROUGH,120045.45454545454,48.20137221269297,4152,44.65,0.9627169791639788,0.9434700619603283,0.2238233738762558,0.7869788032130071,0.7915903653502419
WEST YORKSHIRE,KIRKLEES,CLECKHEATON,105000,29.999045801526716,2931,48.349999999999994,0.9836674154320239,0.9607820896368869,0.409703860391327,0.20724359881550375,0.7843667250236915
WEST YORKSHIRE,LEEDS,PUDSEY,165166.66666666666,53.363846153846154,4332,44.75,0.899886768482974,0.9409179202881084,0.22884717080909564,0.9514010763810813,0.7831396252795494
WEST YORKSHIRE,BRADFORD,ILKLEY,405331.5333333333,44.04142512077295,2495,60.1,0.5654629252070903,0.9669639439095975,1,0.6544865204607536,0.7817230053017907
WEST YORKSHIRE,KIRKLEES,DEWSBURY,221142.85714285713,45.61031814273431,7813,50.01428571428571,0.8219412595881513,0.891562336060344,0.4933141950593033,0.7044549968092836,0.7653535433461528
WEST YORKSHIRE,LEEDS,BRADFORD,148625,42.86178247734139,8644,47,0.9229206444101019,0.8797799486735952,0.3418826017979904,0.6169154785204071,0.7631703105777581
WEST YORKSHIRE,LEEDS,WAKEFIELD,184942.3076923077,30.871883656509695,3888,50.8,0.8723496604670118,0.9472132030795842,0.5327868852459015,0.23504305811725654,0.763165507971586
WEST YORKSHIRE,BRADFORD,SHIPLEY,179444.38888888888,54.8897384305835,6213,42.9,0.8800053811466314,0.9142480398134101,0.1359069275515599,1,0.7534579499129875
WEST YORKSHIRE,WAKEFIELD,WAKEFIELD,193961.53846153847,40.44423686993303,14152,48.75454545454546,0.8597905969407692,0.8016844135036651,0.4300274025287247,0.5399178318903917,0.7244188265221914
WEST YORKSHIRE,KIRKLEES,LIVERSEDGE,200000,50.54647201946472,2787,40.9,0.8513821834072081,0.9628238029746629,0.03543098889476454,0.8616690864823676,0.7226531206824717
WEST YORKSHIRE,CALDERDALE,HALIFAX,209256.25,40.32098481362172,11523,48.083333333333336,0.8384930762605797,0.8389598604829219,0.39630706857042136,0.5359923141052466,0.7199458337737173
WEST YORKSHIRE,KIRKLEES,HOLMFIRTH,370071.4285714286,37.02700119474313,2583,53.45,0.6145617793086469,0.9657162302031789,0.6659175039661556,0.43108054494802855,0.7118311360724464
SOUTH YORKSHIRE,DONCASTER,GOOLE,220000,29.18143382352941,165,46.4,0.8235326608756679,1,0.31173982020095176,0.18120305671802,0.7098813340622595
WEST YORKSHIRE,BRADFORD,KEIGHLEY,176054.2857142857,41.81449977963861,7580,40.95,0.8847260188838993,0.8948659416693843,0.03794288736118464,0.583560036193967,0.6882947711460088
WEST YORKSHIRE,CALDERDALE,HEBDEN BRIDGE,308000,23.73597285067873,1101,50.7,0.7009947617368912,0.9867288633044563,0.527763088313062,0.007767784828950166,0.6827459598316008
WEST YORKSHIRE,WAKEFIELD,PONTEFRACT,205936.36363636365,30.281967984934088,10292,45.2,0.8431159387648919,0.8564136738079372,0.25145425700687474,0.21625453215013743,0.6660867822647265
WEST YORKSHIRE,CALDERDALE,SOWERBY BRIDGE,223250.2142857143,25.09080459770115,2187,43.4,0.8190068150765512,0.9713309418820627,0.1610259122157587,0.05091851413915731,0.6562990424523067
WEST YORKSHIRE,KIRKLEES,HUDDERSFIELD,259293.45652173914,52.29044489383215,19948,44.00833333333333,0.7688174607384546,0.7195054516581831,0.1915873435572007,0.9172137706038916,0.6534174655646661
SOUTH YORKSHIRE,ROTHERHAM,ROTHERHAM,233896.70588235295,42.7672293495386,22080,46.42307692307692,0.804181829696429,0.6892767514072226,0.3128991579546839,0.6139040075888921,0.6524259896505645
SOUTH YORKSHIRE,ROTHERHAM,WORKSOP,479158.3333333333,33.95144927536232,566,53.1,0.4626608687055148,0.9943143954968878,0.6483342147012163,0.3331257187163894,0.6463380809431545
SOUTH YORKSHIRE,SHEFFIELD,SHEFFIELD,184207.74074074073,39.39440498874069,35129,48.518181818181816,0.8733725274104415,0.5042606587361227,0.4181529734147395,0.5064811993150801,0.6349059231994693
SOUTH YORKSHIRE,BARNSLEY,SHEFFIELD,354400,23.492082616179,6183,49.22,0.636383869463718,0.9146733967587801,0.4534108937070332,0,0.6196377455545278
WEST YORKSHIRE,BRADFORD,BRADFORD,162337.77777777778,51.562093576526564,34018,40.194736842105264,0.9038259287254906,0.520013044279658,0,0.8940161369457942,0.6069358984686731
SOUTH YORKSHIRE,DONCASTER,DONCASTER,208322.4927536232,37.18235911270983,30208,45.2952380952381,0.8397933109341776,0.5740333763416468,0.2562388255143412,0.4360286187432521,0.6029779642533586
SOUTH YORKSHIRE,BARNSLEY,BARNSLEY,280407.07692307694,43.53420326755782,20484,41.7,0.7394172483839823,0.711905740900906,0.07562136435748289,0.6383317522126595,0.5882960697166272
WEST YORKSHIRE,LEEDS,LEEDS,255231.35714285713,52.71505803536652,70694,47.43142857142857,0.774473837147331,0,0.36355669713681327,0.9307374917391352,0.4755746234602086
SOUTH YORKSHIRE,ROTHERHAM,SHEFFIELD,811416,32.763176895306856,6887,46.6,0,0.904691687107431,0.3217874140666314,0.29527982388017954,0.3652929713335736
WEST YORKSHIRE,KIRKLEES,BATLEY,800000,38.930464326160816,6048,43.25,0.015896507461003125,0.916587503012945,0.15349021681649913,0.4917049158459484,0.3612033888361795
